# DEC: -19.5123888888889
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 55
# RLAP: None
# OBS_DATE: 2021-05-12 00:00:00+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256166666667
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: None
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 7

wavelength,flux,fluxerr
4244.287,7.18003e-01,1.05783e-02
4245.471,7.12959e-01,1.02443e-02
4249.022,7.22201e-01,9.66502e-03
4251.390,7.28406e-01,9.57596e-03
4252.574,7.27297e-01,9.52473e-03
4253.758,7.35595e-01,9.62750e-03
4254.942,7.37026e-01,9.73112e-03
4256.126,7.15924e-01,9.73227e-03
4259.678,7.31126e-01,1.05010e-02
4260.861,7.33839e-01,1.08890e-02
4266.781,7.43749e-01,9.85206e-03
4267.965,7.43735e-01,9.72043e-03
4270.333,7.41836e-01,9.54584e-03
4272.701,7.35915e-01,9.59361e-03
4277.436,7.37621e-01,1.04955e-02
4278.620,7.29960e-01,1.05508e-02
4279.804,7.12978e-01,1.06735e-02
4282.172,7.28786e-01,1.04032e-02
4286.908,7.24094e-01,9.56219e-03
4290.459,7.15590e-01,9.39087e-03
4291.643,7.19177e-01,9.46204e-03
4294.011,7.43380e-01,9.91645e-03
4295.195,7.21848e-01,9.97104e-03
4297.563,7.42062e-01,1.06448e-02
4298.747,7.46608e-01,1.08535e-02
4301.115,7.38065e-01,1.05117e-02
4302.299,7.22216e-01,9.92494e-03
4303.483,7.29063e-01,9.77844e-03
4304.667,7.23558e-01,9.55529e-03
4307.034,7.05286e-01,9.60715e-03
4308.218,7.14558e-01,9.27306e-03
4309.402,7.14760e-01,9.29774e-03
4312.954,7.49028e-01,9.77049e-03
4316.506,7.24153e-01,1.05764e-02
4320.057,7.80963e-01,1.08971e-02
4321.241,7.73190e-01,1.03256e-02
4323.609,7.67481e-01,9.76353e-03
4325.977,7.79745e-01,9.65580e-03
4329.529,7.97968e-01,9.85857e-03
4331.897,8.16645e-01,1.03277e-02
4334.265,8.19556e-01,1.08529e-02
4335.448,8.07217e-01,1.11176e-02
4339.000,8.52024e-01,1.07654e-02
4341.368,8.41677e-01,1.02347e-02
4343.736,8.69285e-01,1.01043e-02
4344.920,8.68938e-01,1.00614e-02
4346.104,8.63953e-01,1.00246e-02
4348.472,8.71579e-01,1.02156e-02
4350.839,8.64427e-01,1.05993e-02
4353.207,9.10261e-01,1.14201e-02
4354.391,9.20929e-01,1.17647e-02
4356.759,9.06592e-01,1.13190e-02
4359.127,9.12134e-01,1.07803e-02
4361.495,8.93346e-01,1.03513e-02
4362.679,9.19234e-01,1.03589e-02
4369.782,9.16687e-01,1.09313e-02
4373.334,8.95492e-01,1.16478e-02
4376.886,8.55982e-01,1.06594e-02
4383.989,8.14582e-01,9.72915e-03
4389.909,7.76046e-01,1.03963e-02
4391.093,7.54549e-01,1.05959e-02
4392.277,7.28138e-01,1.05507e-02
4393.461,7.23870e-01,1.02990e-02
4398.196,7.09098e-01,9.26542e-03
4399.380,6.83606e-01,9.02974e-03
4400.564,6.69167e-01,8.87144e-03
4401.748,6.65017e-01,8.84770e-03
4402.932,6.57798e-01,9.13760e-03
4404.116,6.54929e-01,8.89560e-03
4405.300,6.42735e-01,8.94373e-03
4407.668,6.52646e-01,9.40766e-03
4411.219,6.28444e-01,9.80163e-03
4412.403,6.20089e-01,9.54246e-03
4413.587,6.16980e-01,9.55819e-03
4414.771,6.11737e-01,8.93234e-03
4421.875,5.82769e-01,8.33082e-03
4425.426,5.47431e-01,8.45455e-03
4427.794,5.35721e-01,8.77161e-03
4432.530,5.11389e-01,8.32014e-03
4433.714,5.01212e-01,8.04244e-03
4436.082,4.99698e-01,7.80310e-03
4437.266,4.98290e-01,7.70090e-03
4438.449,4.83259e-01,7.60292e-03
4440.817,4.87394e-01,7.65805e-03
4444.369,4.73058e-01,7.92705e-03
4449.105,4.72005e-01,8.41858e-03
4450.289,4.51854e-01,8.01936e-03
4451.473,4.68104e-01,7.93794e-03
4457.392,4.46605e-01,7.26809e-03
4459.760,4.48677e-01,7.35001e-03
4460.944,4.35914e-01,7.33518e-03
4463.312,4.38261e-01,7.69892e-03
4465.680,4.28999e-01,8.03704e-03
4466.864,4.21776e-01,8.08755e-03
4469.231,4.21476e-01,7.77760e-03
4471.599,4.46980e-01,7.50850e-03
4475.151,4.53823e-01,7.28946e-03
4476.335,4.47241e-01,7.21730e-03
4482.254,4.80273e-01,7.98188e-03
4484.622,4.89469e-01,8.53693e-03
