dateobs jd mag dmag telescope filter magtype
2021-05-03 2459338.00302 15.2839 0.0196 1m0-11 i 1
2021-05-08 2459342.64576 16.8972 0.0179 1m0-04 B 1
2021-05-08 2459342.64710 16.9162 0.0181 1m0-04 B 1
2021-05-08 2459342.64863 15.8130 0.0167 1m0-04 V 1
2021-05-08 2459342.64964 15.8357 0.0166 1m0-04 V 1
2021-05-08 2459342.65080 16.4515 0.0246 1m0-04 g 1
2021-05-08 2459342.65215 16.4848 0.0146 1m0-04 g 1
2021-05-08 2459342.65368 15.5776 0.0199 1m0-04 r 1
2021-05-08 2459342.65468 15.5857 0.0178 1m0-04 r 1
2021-05-08 2459342.65586 15.6253 0.0198 1m0-04 i 1
2021-05-08 2459342.65686 15.6181 0.0193 1m0-04 i 1
