dateobs jd mag dmag telescope filter magtype
2021-03-23 2459296.61614 14.9389 0.0317 1m0-12 i 1
2021-03-24 2459297.63914 14.2120 0.0383 1m0-05 U 1
2021-03-24 2459297.64048 14.2450 0.0334 1m0-05 U 1
2021-03-24 2459297.64201 14.4789 0.0230 1m0-05 B 1
2021-03-24 2459297.64301 14.4829 0.0243 1m0-05 B 1
2021-03-24 2459297.64419 14.3561 0.0253 1m0-05 V 1
2021-03-24 2459297.64484 14.3688 0.0278 1m0-05 V 1
2021-03-24 2459297.64566 14.3066 0.0140 1m0-05 g 1
2021-03-24 2459297.64672 14.3041 0.0136 1m0-05 g 1
2021-03-24 2459297.64794 14.4902 0.0150 1m0-05 r 1
2021-03-26 2459299.60971 13.9437 0.0340 1m0-05 U 1
2021-03-26 2459299.61107 13.9313 0.0353 1m0-05 U 1
2021-03-26 2459299.61258 14.2453 0.0233 1m0-05 B 1
2021-03-26 2459299.61359 14.2208 0.0251 1m0-05 B 1
2021-03-26 2459299.61478 14.1033 0.0273 1m0-05 V 1
2021-03-26 2459299.61542 14.0979 0.0320 1m0-05 V 1
2021-03-26 2459299.61625 14.0429 0.0143 1m0-05 g 1
2021-03-26 2459299.61724 14.0397 0.0148 1m0-05 g 1
2021-03-26 2459299.61910 14.2272 0.0179 1m0-05 r 1
2021-03-26 2459299.61991 14.5804 0.0246 1m0-05 i 1
2021-03-26 2459299.62056 14.5739 0.0256 1m0-05 i 1
2021-03-28 2459302.04596 13.7254 0.0423 1m0-03 U 1
2021-03-28 2459302.04732 13.7498 0.0406 1m0-03 U 1
2021-03-28 2459302.04885 14.1143 0.0245 1m0-03 B 1
2021-03-28 2459302.04986 14.1222 0.0244 1m0-03 B 1
2021-03-28 2459302.05105 13.9258 0.0266 1m0-03 V 1
2021-03-28 2459302.05170 13.9281 0.0262 1m0-03 V 1
2021-03-28 2459302.05252 13.9182 0.0147 1m0-03 g 1
2021-03-28 2459302.05470 14.0601 0.0171 1m0-03 r 1
2021-03-28 2459302.05536 14.0359 0.0166 1m0-03 r 1
2021-03-28 2459302.05621 14.4938 0.0213 1m0-03 i 1
2021-03-28 2459302.05687 14.4935 0.0214 1m0-03 i 1
2021-03-31 2459305.37361 13.6785 0.0404 1m0-12 U 1
2021-03-31 2459305.37495 13.7147 0.0445 1m0-12 U 1
2021-03-31 2459305.37647 14.0067 0.0309 1m0-12 B 1
2021-03-31 2459305.37747 14.0064 0.0307 1m0-12 B 1
2021-03-31 2459305.37864 13.8617 0.0325 1m0-12 V 1
2021-03-31 2459305.37929 13.8644 0.0328 1m0-12 V 1
2021-03-31 2459305.38011 13.8559 0.0277 1m0-12 g 1
2021-03-31 2459305.38112 13.8372 0.0275 1m0-12 g 1
2021-03-31 2459305.38232 13.9986 0.0310 1m0-12 r 1
2021-03-31 2459305.38297 13.9968 0.0298 1m0-12 r 1
2021-03-31 2459305.38378 14.5914 0.0326 1m0-12 i 1
2021-03-31 2459305.38444 14.5605 0.0327 1m0-12 i 1
2021-04-02 2459307.33721 13.7816 0.0388 1m0-12 U 1
2021-04-02 2459307.33856 13.7441 0.0400 1m0-12 U 1
2021-04-02 2459307.34012 14.0488 0.0263 1m0-12 B 1
2021-04-02 2459307.34113 14.0502 0.0265 1m0-12 B 1
2021-04-02 2459307.34230 13.8258 0.0280 1m0-12 V 1
2021-04-02 2459307.34295 13.8322 0.0268 1m0-12 V 1
2021-04-02 2459307.34377 13.8415 0.0178 1m0-12 g 1
2021-04-02 2459307.34478 13.8509 0.0175 1m0-12 g 1
2021-04-02 2459307.34597 13.9829 0.0244 1m0-12 r 1
2021-04-02 2459307.34662 13.9758 0.0240 1m0-12 r 1
2021-04-03 2459308.23950 13.8659 0.0398 1m0-03 U 1
2021-04-03 2459308.24085 13.8217 0.0378 1m0-03 U 1
2021-04-03 2459308.24238 14.0892 0.0231 1m0-03 B 1
2021-04-03 2459308.24339 14.0886 0.0245 1m0-03 B 1
2021-04-03 2459308.24457 13.8389 0.0252 1m0-03 V 1
2021-04-03 2459308.24523 13.8450 0.0257 1m0-03 V 1
2021-04-03 2459308.24604 13.9046 0.0161 1m0-03 g 1
2021-04-03 2459308.24706 13.8977 0.0163 1m0-03 g 1
2021-04-03 2459308.24825 13.9653 0.0202 1m0-03 r 1
2021-04-03 2459308.24890 13.9622 0.0183 1m0-03 r 1
2021-04-03 2459308.24972 14.6299 0.0250 1m0-03 i 1
2021-04-03 2459308.25038 14.6231 0.0234 1m0-03 i 1
2021-04-06 2459310.84770 14.0098 0.0338 1m0-05 U 1
2021-04-06 2459310.84905 14.0339 0.0347 1m0-05 U 1
2021-04-06 2459310.85057 14.1540 0.0231 1m0-05 B 1
2021-04-06 2459310.85158 14.1578 0.0230 1m0-05 B 1
2021-04-06 2459310.85276 13.8813 0.0253 1m0-05 V 1
2021-04-06 2459310.85340 13.8702 0.0248 1m0-05 V 1
2021-04-06 2459310.85423 13.8914 0.0123 1m0-05 g 1
2021-04-06 2459310.85523 13.9053 0.0129 1m0-05 g 1
2021-04-06 2459310.85640 14.0123 0.0163 1m0-05 r 1
2021-04-06 2459310.85706 14.0225 0.0151 1m0-05 r 1
2021-04-06 2459310.85787 14.7328 0.0230 1m0-05 i 1
2021-04-06 2459310.85853 14.7269 0.0215 1m0-05 i 1
2021-04-08 2459312.76431 14.1746 0.0422 1m0-04 U 1
2021-04-08 2459312.76566 14.1249 0.0385 1m0-04 U 1
2021-04-08 2459312.76718 14.2995 0.0237 1m0-04 B 1
